source,keyword,date,value
naver_datalab,skin barrier,2024-07-22,49.19354
naver_datalab,skin barrier,2024-07-29,45.62211
naver_datalab,skin barrier,2024-08-05,60.59907
naver_datalab,skin barrier,2024-08-12,56.79723
naver_datalab,skin barrier,2024-08-19,53.11059
naver_datalab,skin barrier,2024-08-26,57.8341
naver_datalab,skin barrier,2024-09-02,63.59447
naver_datalab,skin barrier,2024-09-09,53.80184
naver_datalab,skin barrier,2024-09-16,50.92165
naver_datalab,skin barrier,2024-09-23,70.96774
naver_datalab,skin barrier,2024-09-30,67.39631
naver_datalab,skin barrier,2024-10-07,62.44239
naver_datalab,skin barrier,2024-10-14,60.25345
naver_datalab,skin barrier,2024-10-21,61.40552
naver_datalab,skin barrier,2024-10-28,64.28571
naver_datalab,skin barrier,2024-11-04,64.28571
naver_datalab,skin barrier,2024-11-11,68.08755
naver_datalab,skin barrier,2024-11-18,65.78341
naver_datalab,skin barrier,2024-11-25,68.43317
naver_datalab,skin barrier,2024-12-02,56.10599
naver_datalab,skin barrier,2024-12-09,60.36866
naver_datalab,skin barrier,2024-12-16,54.26267
naver_datalab,skin barrier,2024-12-23,51.49769
naver_datalab,skin barrier,2024-12-30,50.80645
naver_datalab,skin barrier,2025-01-06,54.37788
naver_datalab,skin barrier,2025-01-13,59.90783
naver_datalab,skin barrier,2025-01-20,63.36405
naver_datalab,skin barrier,2025-01-27,54.8387
naver_datalab,skin barrier,2025-02-03,68.20276
naver_datalab,skin barrier,2025-02-10,60.02304
naver_datalab,skin barrier,2025-02-17,61.52073
naver_datalab,skin barrier,2025-02-24,76.38248
naver_datalab,skin barrier,2025-03-03,62.78801
naver_datalab,skin barrier,2025-03-10,57.25806
naver_datalab,skin barrier,2025-03-17,60.71428
naver_datalab,skin barrier,2025-03-24,63.70967
naver_datalab,skin barrier,2025-03-31,62.5576
naver_datalab,skin barrier,2025-04-07,55.18433
naver_datalab,skin barrier,2025-04-14,54.7235
naver_datalab,skin barrier,2025-04-21,53.2258
naver_datalab,skin barrier,2025-04-28,52.99539
naver_datalab,skin barrier,2025-05-05,49.30875
naver_datalab,skin barrier,2025-05-12,54.60829
naver_datalab,skin barrier,2025-05-19,50.0
naver_datalab,skin barrier,2025-05-26,46.54377
naver_datalab,skin barrier,2025-06-02,46.54377
naver_datalab,skin barrier,2025-06-09,49.19354
naver_datalab,skin barrier,2025-06-16,50.23041
naver_datalab,skin barrier,2025-06-23,40.6682
naver_datalab,skin barrier,2025-06-30,40.89861
naver_datalab,skin barrier,2025-07-07,44.35483
naver_datalab,skin barrier,2025-07-14,43.54838
naver_datalab,skin barrier,2025-07-21,42.2811
naver_datalab,skin barrier,2025-07-28,41.47465
naver_datalab,skin barrier,2025-08-04,37.67281
naver_datalab,skin barrier,2025-08-11,37.78801
naver_datalab,skin barrier,2025-08-18,38.59447
naver_datalab,skin barrier,2025-08-25,46.77419
naver_datalab,skin barrier,2025-09-01,45.04608
naver_datalab,skin barrier,2025-09-08,45.3917
naver_datalab,skin barrier,2025-09-15,47.11981
naver_datalab,skin barrier,2025-09-22,36.17511
naver_datalab,skin barrier,2025-09-29,32.8341
naver_datalab,skin barrier,2025-10-06,33.41013
naver_datalab,skin barrier,2025-10-13,39.1705
naver_datalab,skin barrier,2025-10-20,44.35483
naver_datalab,skin barrier,2025-10-27,41.82027
naver_datalab,skin barrier,2025-11-03,38.36405
naver_datalab,skin barrier,2025-11-10,43.08755
naver_datalab,skin barrier,2025-11-17,47.23502
naver_datalab,skin barrier,2025-11-24,40.55299
naver_datalab,skin barrier,2025-12-01,45.16129
naver_datalab,skin barrier,2025-12-08,41.01382
naver_datalab,skin barrier,2025-12-15,35.48387
naver_datalab,skin barrier,2025-12-22,32.14285
naver_datalab,skin barrier,2025-12-29,34.90783
naver_datalab,skin barrier,2026-01-05,40.55299
naver_datalab,skin barrier,2026-01-12,34.447
naver_datalab,skin barrier,2026-01-19,39.40092
naver_datalab,skin barrier,2026-01-26,35.25345
naver_datalab,skin barrier,2026-02-02,35.82949
naver_datalab,skin barrier,2026-02-09,36.86635
naver_datalab,skin barrier,2026-02-16,30.99078
naver_datalab,skin barrier,2026-02-23,36.52073
naver_datalab,skin barrier,2026-03-02,34.56221
naver_datalab,skin barrier,2026-03-09,35.71428
naver_datalab,skin barrier,2026-03-16,38.82488
naver_datalab,skin barrier,2026-03-23,39.97695
naver_datalab,skin barrier,2026-03-30,37.78801
naver_datalab,skin barrier,2026-04-06,41.47465
naver_datalab,skin barrier,2026-04-13,38.13364
naver_datalab,skin barrier,2026-04-20,39.51612
naver_datalab,skin barrier,2026-04-27,36.52073
naver_datalab,skin barrier,2026-05-04,32.14285
naver_datalab,skin barrier,2026-05-11,35.02304
naver_datalab,skin barrier,2026-05-18,27.76497
naver_datalab,skin barrier,2026-05-25,26.6129
naver_datalab,skin barrier,2026-06-01,30.99078
naver_datalab,skin barrier,2026-06-08,30.76036
naver_datalab,skin barrier,2026-06-15,30.29953
naver_datalab,skin barrier,2026-06-22,25.34562
naver_datalab,skin barrier,2026-06-29,26.84331
naver_datalab,skin barrier,2026-07-06,27.53456
naver_datalab,skin barrier,2026-07-13,25.46082
