source,keyword,date,window_days,video_count,total_views
youtube,skin barrier,2026-07-28,30,25,13468
youtube,sensitive skin,2026-07-28,30,25,25247
youtube,glass skin,2026-07-28,30,25,28851
youtube,anti aging skincare,2026-07-28,30,25,22050
youtube,hyperpigmentation skincare,2026-07-28,30,25,100099
youtube,acne skincare,2026-07-28,30,25,35870
youtube,hydrating skincare,2026-07-28,30,25,35375
youtube,brightening skincare,2026-07-28,30,25,25239
youtube,PDRN skincare,2026-07-28,30,25,33933
youtube,exosome skincare,2026-07-28,30,25,11545
youtube,ectoin skincare,2026-07-28,30,25,9397
youtube,panthenol skincare,2026-07-28,30,25,183063
youtube,ceramide skincare,2026-07-28,30,25,11933
youtube,azelaic acid skincare,2026-07-28,30,25,76247
youtube,tranexamic acid skincare,2026-07-28,30,25,46238
youtube,copper peptides skincare,2026-07-28,30,25,10644
youtube,korean serum,2026-07-28,30,25,17138
youtube,korean ampoule,2026-07-28,30,25,6304
youtube,korean toner pads,2026-07-28,30,25,11879
youtube,hydrogel mask,2026-07-28,30,25,13258
youtube,korean face cream,2026-07-28,30,25,74052
youtube,sleeping mask skincare,2026-07-28,30,25,22625
youtube,sun serum,2026-07-28,30,25,12814
youtube,sunscreen stick,2026-07-28,30,25,17972
